time_id,rows,symbols
0,50382,39
1,50382,39
2,50382,39
3,50382,39
4,50382,39
5,50382,39
6,50382,39
7,50382,39
8,50382,39
9,50382,39
10,50382,39
11,50382,39
12,50382,39
13,50382,39
14,50382,39
15,50382,39
16,50382,39
17,50382,39
18,50382,39
19,50382,39
20,50382,39
21,50382,39
22,50382,39
23,50382,39
24,50382,39
25,50382,39
26,50382,39
27,50382,39
28,50382,39
29,50382,39
30,50382,39
31,50382,39
32,50382,39
33,50382,39
34,50382,39
35,50382,39
36,50382,39
37,50382,39
38,50382,39
39,50382,39
40,50382,39
41,50382,39
42,50382,39
43,50382,39
44,50382,39
45,50382,39
46,50382,39
47,50382,39
48,50382,39
49,50382,39
50,50382,39
51,50382,39
52,50382,39
53,50382,39
54,50382,39
55,50382,39
56,50382,39
57,50382,39
58,50382,39
59,50382,39
60,50382,39
61,50382,39
62,50382,39
63,50382,39
64,50382,39
65,50382,39
66,50382,39
67,50382,39
68,50382,39
69,50382,39
70,50382,39
71,50382,39
72,50382,39
73,50382,39
74,50382,39
75,50382,39
76,50382,39
77,50382,39
78,50382,39
79,50382,39
80,50382,39
81,50382,39
82,50382,39
83,50382,39
84,50382,39
85,50382,39
86,50382,39
87,50382,39
88,50382,39
89,50382,39
90,50382,39
91,50382,39
92,50382,39
93,50382,39
94,50382,39
95,50382,39
96,50382,39
97,50382,39
98,50382,39
99,50382,39
100,50382,39
101,50382,39
102,50382,39
103,50382,39
104,50382,39
105,50382,39
106,50382,39
107,50382,39
108,50382,39
109,50382,39
110,50382,39
111,50382,39
112,50382,39
113,50382,39
114,50382,39
115,50382,39
116,50382,39
117,50382,39
118,50382,39
119,50382,39
120,50382,39
121,50382,39
122,50382,39
123,50382,39
124,50382,39
125,50382,39
126,50382,39
127,50382,39
128,50382,39
129,50382,39
130,50382,39
131,50382,39
132,50382,39
133,50382,39
134,50382,39
135,50382,39
136,50382,39
137,50382,39
138,50382,39
139,50382,39
140,50382,39
141,50382,39
142,50382,39
143,50382,39
144,50382,39
145,50382,39
146,50382,39
147,50382,39
148,50382,39
149,50382,39
150,50382,39
151,50382,39
152,50382,39
153,50382,39
154,50382,39
155,50382,39
156,50382,39
157,50382,39
158,50382,39
159,50382,39
160,50382,39
161,50382,39
162,50382,39
163,50382,39
164,50382,39
165,50382,39
166,50382,39
167,50382,39
168,50382,39
169,50382,39
170,50382,39
171,50382,39
172,50382,39
173,50382,39
174,50382,39
175,50382,39
176,50382,39
177,50382,39
178,50382,39
179,50382,39
180,50382,39
181,50382,39
182,50382,39
183,50382,39
184,50382,39
185,50382,39
186,50382,39
187,50382,39
188,50382,39
189,50382,39
190,50382,39
191,50382,39
192,50382,39
193,50382,39
194,50382,39
195,50382,39
196,50382,39
197,50382,39
198,50382,39
199,50382,39
200,50382,39
201,50382,39
202,50382,39
203,50382,39
204,50382,39
205,50382,39
206,50382,39
207,50382,39
208,50382,39
209,50382,39
210,50382,39
211,50382,39
212,50382,39
213,50382,39
214,50382,39
215,50382,39
216,50382,39
217,50382,39
218,50382,39
219,50382,39
220,50382,39
221,50382,39
222,50382,39
223,50382,39
224,50382,39
225,50382,39
226,50382,39
227,50382,39
228,50382,39
229,50382,39
230,50382,39
231,50382,39
232,50382,39
233,50382,39
234,50382,39
235,50382,39
236,50382,39
237,50382,39
238,50382,39
239,50382,39
240,50382,39
241,50382,39
242,50382,39
243,50382,39
244,50382,39
245,50382,39
246,50382,39
247,50382,39
248,50382,39
249,50382,39
250,50382,39
251,50382,39
252,50382,39
253,50382,39
254,50382,39
255,50382,39
256,50382,39
257,50382,39
258,50382,39
259,50382,39
260,50382,39
261,50382,39
262,50382,39
263,50382,39
264,50382,39
265,50382,39
266,50382,39
267,50382,39
268,50382,39
269,50382,39
270,50382,39
271,50382,39
272,50382,39
273,50382,39
274,50382,39
275,50382,39
276,50382,39
277,50382,39
278,50382,39
279,50382,39
280,50382,39
281,50382,39
282,50382,39
283,50382,39
284,50382,39
285,50382,39
286,50382,39
287,50382,39
288,50382,39
289,50382,39
290,50382,39
291,50382,39
292,50382,39
293,50382,39
294,50382,39
295,50382,39
296,50382,39
297,50382,39
298,50382,39
299,50382,39
300,50382,39
301,50382,39
302,50382,39
303,50382,39
304,50382,39
305,50382,39
306,50382,39
307,50382,39
308,50382,39
309,50382,39
310,50382,39
311,50382,39
312,50382,39
313,50382,39
314,50382,39
315,50382,39
316,50382,39
317,50382,39
318,50382,39
319,50382,39
320,50382,39
321,50382,39
322,50382,39
323,50382,39
324,50382,39
325,50382,39
326,50382,39
327,50382,39
328,50382,39
329,50382,39
330,50382,39
331,50382,39
332,50382,39
333,50382,39
334,50382,39
335,50382,39
336,50382,39
337,50382,39
338,50382,39
339,50382,39
340,50382,39
341,50382,39
342,50382,39
343,50382,39
344,50382,39
345,50382,39
346,50382,39
347,50382,39
348,50382,39
349,50382,39
350,50382,39
351,50382,39
352,50382,39
353,50382,39
354,50382,39
355,50382,39
356,50382,39
357,50382,39
358,50382,39
359,50382,39
360,50382,39
361,50382,39
362,50382,39
363,50382,39
364,50382,39
365,50382,39
366,50382,39
367,50382,39
368,50382,39
369,50382,39
370,50382,39
371,50382,39
372,50382,39
373,50382,39
374,50382,39
375,50382,39
376,50382,39
377,50382,39
