date_id,responder_0,responder_1,responder_2,responder_3,responder_4,responder_5,responder_6,responder_7,responder_8
0,0.88488144,0.9481117,0.7285868,1.123619,0.86590034,1.1736274,0.52989364,0.47153604,0.59022105
1,1.139215,1.5881933,0.975548,1.4976355,1.286414,1.4516237,0.8122109,0.6804549,0.8625569
2,1.0836706,1.3536478,0.91994745,1.2555728,1.4604846,1.0712186,0.7976522,0.93932617,0.80715203
3,1.1903942,1.4493879,1.062176,1.2638378,1.2964747,1.1872929,0.96889293,0.9482561,0.9653658
4,1.0072283,1.5274324,0.83305097,1.1528469,0.8627045,1.2563666,0.6982487,0.5858744,0.76444733
5,1.002963,1.0311309,0.8279923,1.3718755,1.051943,1.3839506,0.84534013,0.7019108,0.91602004
6,1.0911666,1.2357723,0.878596,1.407898,1.5123339,1.3611745,0.854173,0.9666681,0.92647916
7,0.8182935,1.2584573,0.80678034,1.305125,1.2460451,1.1962659,0.87058306,0.8764809,0.9404978
8,0.978539,1.6137265,0.7558568,1.362152,1.894653,1.038485,1.3790039,1.5178572,1.3359374
9,1.2045687,1.7270342,0.92239326,1.614596,1.5000638,1.4493601,1.1240244,1.2233707,1.0386901
10,1.2243922,1.7043313,0.88164055,1.672659,1.3820654,1.5604801,0.88033557,0.76740485,0.8294506
11,0.7772246,1.4422729,0.745098,1.1545565,1.2968299,1.0628325,0.8520815,0.89150655,0.8465469
12,0.8580048,1.0445338,0.7058914,1.5060136,1.3984438,1.4079471,0.8117831,0.86438465,0.7720103
13,1.1858383,1.9137872,0.8557363,1.4129255,1.1995623,1.3823452,0.923101,0.9470124,0.8881294
14,0.84355384,1.4936447,0.8248691,0.90889645,0.9109733,0.8700391,0.7784315,0.755893,0.76183754
15,0.6565257,1.4652147,0.6529702,0.8429607,0.67915535,0.96360326,0.6262014,0.5523069,0.7345726
16,1.0157822,1.5309631,0.7686701,1.8896745,1.9509988,1.7141203,0.9002575,0.94434774,0.8820277
17,1.170199,1.8143691,0.8067331,1.4653028,1.1636416,1.4413166,0.8182944,0.8106231,0.8172085
18,1.2598414,1.8432269,0.7317935,1.8482993,1.7360502,1.805324,0.77183086,0.731006,0.7321729
19,0.7657115,1.6202972,0.54524237,1.0450569,1.4345427,0.9645354,0.6282193,0.67396957,0.72023356
