feature,variance
feature_11,27067.83526825865
feature_09,571.0714784588993
feature_10,9.22041423736135
feature_24,2.1014256477355957
feature_00,1.7620254755020142
feature_02,1.7499843835830688
feature_03,1.7499302625656128
feature_34,1.6957268714904785
feature_35,1.6853649616241455
feature_32,1.5990266799926758
feature_47,1.3731952905654907
feature_61,1.2371723651885986
feature_01,1.177095890045166
feature_66,1.1362636089324951
feature_06,1.1360055208206177
feature_19,1.1240622997283936
feature_26,1.1219310760498047
feature_07,1.1207038164138794
feature_27,1.1196187734603882
feature_65,1.0933418273925781
feature_28,1.078795075416565
feature_04,1.0757598876953125
feature_53,1.0748255252838135
feature_57,1.0736894607543945
feature_18,1.0732287168502808
feature_50,1.0565605163574219
feature_25,1.0408209562301636
feature_05,1.040644645690918
feature_52,1.0088812112808228
feature_55,0.9985771775245667
feature_56,0.9969692826271057
feature_33,0.9767757654190063
feature_46,0.9633956551551819
feature_22,0.9600827693939209
feature_08,0.9481004476547241
feature_73,0.9335249662399292
feature_74,0.9189490675926208
feature_45,0.9185104370117188
feature_75,0.9140250086784363
feature_60,0.9065108895301819
feature_58,0.9052080512046814
feature_77,0.9011123776435852
feature_76,0.9005229473114014
feature_59,0.8967714905738831
feature_78,0.890365481376648
feature_70,0.8878887891769409
feature_23,0.8839085102081299
feature_37,0.8718926906585693
feature_36,0.8707409501075745
feature_42,0.8704320192337036
feature_12,0.8674134016036987
feature_72,0.8666285872459412
feature_38,0.8641084432601929
feature_39,0.8615667819976807
feature_14,0.8604757189750671
feature_30,0.8600021004676819
feature_51,0.8536470532417297
feature_15,0.8399655222892761
feature_67,0.8389104604721069
feature_54,0.8361915946006775
feature_17,0.8303963541984558
feature_69,0.8239040970802307
feature_20,0.8199799060821533
feature_13,0.8163321614265442
feature_16,0.7946555018424988
feature_21,0.7878691554069519
feature_71,0.7856624722480774
feature_49,0.7794024348258972
feature_44,0.7781521677970886
feature_68,0.7779666185379028
feature_29,0.7712742686271667
feature_41,0.7672404050827026
feature_48,0.738544762134552
feature_43,0.7199442386627197
feature_40,0.7137008309364319
feature_62,0.6282617449760437
feature_31,0.543731153011322
feature_64,0.5246094465255737
feature_63,0.5160707831382751
