date_id,rows,feature_00,feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78
0,6792,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8268551236749118,0.0,0.47114252061248524,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,1.0600706713780919,1.0600706713780919,0.0,0.0,0.0,0.0,0.0,32.75912838633687,20.332744405182567,22.42343934040047,32.75912838633687,20.332744405182567,22.42343934040047,26.69316843345112,26.69316843345112,0.0,0.0,0.0,15.076560659599528,0.11778563015312131,3.297997644287397,15.076560659599528,0.11778563015312131,3.297997644287397,0.0,0.0,1.0600706713780919,0.0,0.0,0.0,36.43992932862191,34.67314487632509,34.96760895170789,26.69316843345112,26.69316843345112,0.0,0.0,0.0,0.0,0.0,0.0,1.0600706713780919,1.0600706713780919,0.0,0.0,0.0,0.0
1,10188,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8268551236749118,0.0,0.47114252061248524,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,1.1778563015312131,1.1778563015312131,0.0,0.0,0.0,0.0,0.0,20.92658029053789,6.802120141342756,9.628975265017669,20.92658029053789,6.802120141342756,9.628975265017669,20.828425598743618,20.828425598743618,0.0,0.0,0.0,15.076560659599528,0.11778563015312131,3.297997644287397,15.076560659599528,0.11778563015312131,3.297997644287397,0.0,0.0,1.1778563015312131,0.0,0.0,0.0,16.588142913231252,15.577149587750295,15.724381625441698,20.828425598743618,20.828425598743618,0.0,0.0,0.0,0.0,0.0,0.0,1.1778563015312131,1.1778563015312131,0.0,0.0,0.0,0.0
2,9339,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8268551236749118,0.0,0.47114252061248524,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,1.1778563015312131,1.1778563015312131,0.0,0.0,0.0,0.0,0.0,15.076560659599528,0.11778563015312131,3.297997644287397,15.076560659599528,0.11778563015312131,3.297997644287397,18.192525966377556,18.192525966377556,0.0,0.0,0.0,15.076560659599528,0.11778563015312131,3.297997644287397,15.076560659599528,0.11778563015312131,3.297997644287397,0.0,0.0,1.1778563015312131,0.0,0.0,0.0,18.781454117143163,17.16457864867759,17.40014990898383,18.192525966377556,18.192525966377556,0.0,0.0,0.0,0.0,0.0,0.0,1.1778563015312131,1.1778563015312131,0.0,0.0,0.0,0.0
3,10188,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8268551236749118,0.0,0.47114252061248524,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,1.1778563015312131,1.1778563015312131,0.0,0.0,0.0,0.0,0.0,15.076560659599528,0.11778563015312131,3.297997644287397,15.076560659599528,0.11778563015312131,3.297997644287397,13.388299960738124,13.388299960738124,0.0,0.0,0.0,15.076560659599528,0.11778563015312131,3.297997644287397,15.076560659599528,0.11778563015312131,3.297997644287397,0.0,0.0,1.1778563015312131,0.0,0.0,0.0,0.0,0.0,0.0,13.388299960738124,13.388299960738124,0.0,0.0,0.0,0.0,0.0,0.0,1.1778563015312131,1.1778563015312131,0.0,0.0,0.0,0.0
4,10188,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8563015312131923,0.04907734589713388,0.5300353356890459,0.04907734589713388,0.04907734589713388,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,1.1778563015312131,1.1778563015312131,0.0,0.0,0.0,0.0,0.0,15.80290537887711,0.9324695720455437,4.024342363564978,15.80290537887711,0.9324695720455437,4.024342363564978,29.367883784844917,29.367883784844917,0.0,0.0,0.0,15.076560659599528,0.11778563015312131,3.297997644287397,15.076560659599528,0.11778563015312131,3.297997644287397,0.04907734589713388,0.04907734589713388,1.1778563015312131,0.0,0.0,0.0,34.95288574793875,33.19591676482136,33.49038084020416,29.367883784844917,29.367883784844917,0.0,0.0,0.0,0.0,0.0,0.0,1.1778563015312131,1.1778563015312131,0.0,0.0,0.0,0.0
5,7641,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8268551236749118,0.0,0.47114252061248524,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,1.0600706713780919,1.0600706713780919,0.0,0.0,0.0,0.0,0.0,20.861143829341707,6.478209658421672,9.069493521790342,20.861143829341707,6.478209658421672,9.069493521790342,7.341970946211229,7.341970946211229,0.0,0.0,0.0,15.076560659599528,0.11778563015312131,3.297997644287397,15.076560659599528,0.11778563015312131,3.297997644287397,0.0,0.0,1.0600706713780919,0.0,0.0,0.0,21.397722811150373,19.905771495877502,20.15443004842298,7.341970946211229,7.341970946211229,0.0,0.0,0.0,0.0,0.0,0.0,1.0600706713780919,1.0600706713780919,0.0,0.0,0.0,0.0
6,10188,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8366705928543383,0.019630938358853555,0.5005889281507656,0.019630938358853555,0.019630938358853555,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,1.1778563015312131,1.1778563015312131,0.0,0.0,0.0,0.0,0.0,15.655673341185707,0.7852375343541421,3.877110325873577,15.655673341185707,0.7852375343541421,3.877110325873577,12.23989006674519,12.23989006674519,0.0,0.0,0.0,15.076560659599528,0.11778563015312131,3.297997644287397,15.076560659599528,0.11778563015312131,3.297997644287397,0.019630938358853555,0.019630938358853555,1.1778563015312131,0.0,0.0,0.0,16.06792304672163,14.428739693757361,14.683941892422459,12.23989006674519,12.23989006674519,0.0,0.0,0.0,0.0,0.0,0.0,1.1778563015312131,1.1778563015312131,0.0,0.0,0.0,0.0
7,6792,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8268551236749118,0.0,0.47114252061248524,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,1.0600706713780919,1.0600706713780919,0.0,0.0,0.0,0.0,0.0,15.532979976442874,0.6919905771495877,3.7396937573616023,15.532979976442874,0.6919905771495877,3.7396937573616023,7.714958775029446,7.714958775029446,0.0,0.0,0.0,15.076560659599528,0.11778563015312131,3.297997644287397,15.076560659599528,0.11778563015312131,3.297997644287397,0.0,0.0,1.0600706713780919,0.0,0.0,0.0,5.329799764428739,4.151943462897526,4.358068315665489,7.714958775029446,7.714958775029446,0.0,0.0,0.0,0.0,0.0,0.0,1.0600706713780919,1.0600706713780919,0.0,0.0,0.0,0.0
8,8490,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8268551236749118,0.0,0.47114252061248524,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,1.0600706713780919,1.0600706713780919,0.0,0.0,0.0,0.0,0.0,25.217903415783276,11.60188457008245,13.992932862190813,25.217903415783276,11.60188457008245,13.992932862190813,11.37809187279152,11.37809187279152,0.0,0.0,0.0,15.076560659599528,0.11778563015312131,3.297997644287397,15.076560659599528,0.11778563015312131,3.297997644287397,0.0,0.0,1.0600706713780919,0.0,0.0,0.0,18.32744405182568,16.666666666666664,16.925795053003533,11.37809187279152,11.37809187279152,0.0,0.0,0.0,0.0,0.0,0.0,1.0600706713780919,1.0600706713780919,0.0,0.0,0.0,0.0
9,8490,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8268551236749118,0.0,0.47114252061248524,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,1.0600706713780919,1.0600706713780919,0.0,0.0,0.0,0.0,0.0,17.36160188457008,2.497055359246172,5.571260306242638,17.36160188457008,2.497055359246172,5.571260306242638,7.726737338044759,7.726737338044759,0.0,0.0,0.0,15.076560659599528,0.11778563015312131,3.297997644287397,15.076560659599528,0.11778563015312131,3.297997644287397,0.0,0.0,1.0600706713780919,0.0,0.0,0.0,8.103651354534747,7.137809187279152,7.243816254416961,7.726737338044759,7.726737338044759,0.0,0.0,0.0,0.0,0.0,0.0,1.0600706713780919,1.0600706713780919,0.0,0.0,0.0,0.0
