date_id,rows,symbols,time_steps
0,6792,8,849
1,10188,12,849
2,9339,11,849
3,10188,12,849
4,10188,12,849
5,7641,9,849
6,10188,12,849
7,6792,8,849
8,8490,10,849
9,8490,10,849
10,6792,8,849
11,5943,7,849
12,6792,8,849
13,11037,13,849
14,6792,8,849
15,5943,7,849
16,6792,8,849
17,6792,8,849
18,3396,4,849
19,5094,6,849
20,11037,13,849
21,12735,15,849
22,9339,11,849
23,9339,11,849
24,11886,14,849
25,10188,12,849
26,9339,11,849
27,7641,9,849
28,8490,10,849
29,13584,16,849
30,10188,12,849
31,10188,12,849
32,9339,11,849
33,8490,10,849
34,8490,10,849
35,9339,11,849
36,6792,8,849
37,9339,11,849
38,8490,10,849
39,10188,12,849
40,9339,11,849
41,9339,11,849
42,8490,10,849
43,7641,9,849
44,10188,12,849
45,11037,13,849
46,9339,11,849
47,9339,11,849
48,9339,11,849
49,9339,11,849
50,10188,12,849
51,8490,10,849
52,8490,10,849
53,8490,10,849
54,10188,12,849
55,10188,12,849
56,10188,12,849
57,8490,10,849
58,8490,10,849
59,7641,9,849
60,8490,10,849
61,9339,11,849
62,11037,13,849
63,10188,12,849
64,11037,13,849
65,11886,14,849
66,11886,14,849
67,10188,12,849
68,11037,13,849
69,11886,14,849
70,11037,13,849
71,11037,13,849
72,9339,11,849
73,9339,11,849
74,11037,13,849
75,9339,11,849
76,9339,11,849
77,10188,12,849
78,6792,8,849
79,8490,10,849
80,12735,15,849
81,10188,12,849
82,11886,14,849
83,11037,13,849
84,11886,14,849
85,11886,14,849
86,14433,17,849
87,12735,15,849
88,12735,15,849
89,12735,15,849
90,12735,15,849
91,13584,16,849
92,14433,17,849
93,11886,14,849
94,11886,14,849
95,11037,13,849
96,11886,14,849
97,9339,11,849
98,11037,13,849
99,11886,14,849
100,11037,13,849
101,12735,15,849
102,12735,15,849
103,15282,18,849
104,15282,18,849
105,16131,19,849
106,14433,17,849
107,14433,17,849
108,13584,16,849
109,16131,19,849
110,11886,14,849
111,12735,15,849
112,14433,17,849
113,12735,15,849
114,11886,14,849
115,13584,16,849
116,13584,16,849
117,13584,16,849
118,11886,14,849
119,10188,12,849
120,11037,13,849
121,12735,15,849
122,11037,13,849
123,13584,16,849
124,13584,16,849
125,11886,14,849
126,14433,17,849
127,13584,16,849
128,13584,16,849
