lag,acf
1,0.8852402576857288
2,0.8288660428479994
3,0.777716113347282
4,0.7286658579945416
5,0.6809318980447876
6,0.6345673534341166
7,0.588342969180627
8,0.542650212083511
9,0.4972561054937257
10,0.4522160803845813
11,0.4067935305722157
12,0.3624138120057091
13,0.31789469847788526
14,0.2738094938527361
15,0.229739071003388
16,0.18578688826919462
17,0.14111928900766396
18,0.09622442747444064
19,0.04834484526019072
20,-0.0011007577660377078
21,0.00673438029983047
22,0.00933878940622444
23,0.010229605054030375
24,0.010881075227697145
25,0.011262678345501811
26,0.011748434405798569
27,0.011756138113196047
28,0.012583724726999066
29,0.013509248690914064
30,0.015055925795455363
31,0.016011688136947002
32,0.017235032632384135
33,0.017827410517954768
34,0.018345573173692703
35,0.0187835731460396
36,0.018912257657672252
37,0.01883496978069273
38,0.018720650404754142
39,0.018402783578525515
40,0.01819069605247072
41,0.017565706273291317
42,0.0169707612491926
43,0.01622343048997369
44,0.015790248838027345
45,0.0151354901820199
46,0.014868329594393024
47,0.014686895955895618
48,0.014488472810334461
49,0.013948073612161351
50,0.014023939032547976
