feature,null_count,null_pct
feature_21,8435985,21.803282506042112
feature_26,8435985,21.803282506042112
feature_27,8435985,21.803282506042112
feature_31,8435985,21.803282506042112
feature_39,4300649,10.041983399650624
feature_42,4300649,10.041983399650624
feature_50,4254098,9.922501774999978
feature_53,4254098,9.922501774999978
feature_00,3182052,7.240940473114682
feature_01,3182052,7.240940473114682
feature_02,3182052,7.240940473114682
feature_03,3182052,7.240940473114682
feature_04,3182052,7.240940473114682
feature_15,1209299,2.633603320908369
feature_41,1093012,2.3743412687306424
feature_44,1093012,2.3743412687306424
feature_52,1044898,2.267453719898512
feature_55,1044898,2.267453719898512
feature_73,483759,1.037139538541843
feature_74,483759,1.037139538541843
feature_32,478457,1.0256558994416178
feature_33,478457,1.0256558994416178
feature_58,478452,1.025645071138462
feature_45,317163,0.6775514084277617
feature_46,317163,0.6775514084277617
feature_65,317163,0.6775514084277617
feature_66,317163,0.6775514084277617
feature_08,300247,0.6411822592182803
feature_62,292827,0.6252376586146058
feature_64,237663,0.5068557203691432
feature_63,227566,0.4852177106532629
feature_17,201838,0.43012434603786853
feature_40,67856,0.14419198239368636
feature_43,67856,0.14419198239368636
feature_75,58430,0.12413714802986295
feature_76,58430,0.12413714802986295
feature_77,20043,0.04254755022550117
feature_78,20043,0.04254755022550117
feature_51,13805,0.029301559702601798
feature_54,13805,0.029301559702601798
feature_37,849,0.001801534589177649
feature_16,261,0.0005538217445567439
feature_18,226,0.00047955410465211617
feature_19,226,0.00047955410465211617
feature_56,226,0.00047955410465211617
feature_57,226,0.00047955410465211617
feature_47,87,0.0001846065665913762
feature_05,0,0.0
feature_06,0,0.0
feature_07,0,0.0
feature_09,0,0.0
feature_10,0,0.0
feature_11,0,0.0
feature_12,0,0.0
feature_13,0,0.0
feature_14,0,0.0
feature_20,0,0.0
feature_22,0,0.0
feature_23,0,0.0
feature_24,0,0.0
feature_25,0,0.0
feature_28,0,0.0
feature_29,0,0.0
feature_30,0,0.0
feature_34,0,0.0
feature_35,0,0.0
feature_36,0,0.0
feature_38,0,0.0
feature_48,0,0.0
feature_49,0,0.0
feature_59,0,0.0
feature_60,0,0.0
feature_61,0,0.0
feature_67,0,0.0
feature_68,0,0.0
feature_69,0,0.0
feature_70,0,0.0
feature_71,0,0.0
feature_72,0,0.0
