date_id,responder_6,rolling_mean,rolling_std,shift_score
0,0.52989364,,,
1,0.8122109,,,
2,0.7976522,,,
3,0.96889293,,,
4,0.6982487,,,
5,0.84534013,,,
6,0.854173,,,
7,0.87058306,,,
8,1.3790039,,,
9,1.1240244,,,
10,0.88033557,,,
11,0.8520815,,,
12,0.8117831,,,
13,0.923101,,,
14,0.7784315,,,
15,0.6262014,,,
16,0.9002575,,,
17,0.8182944,,,
18,0.77183086,,,
19,0.6282193,0.843528,0.1806603,
20,1.0415615,0.86911136,0.16981187,0.025583386
21,0.9044639,0.873724,0.16943747,0.0046126246
22,0.68913126,0.86829793,0.17368616,0.005426049
23,0.8237962,0.8610431,0.17228787,0.007254839
24,0.75693345,0.8639773,0.16985191,0.0029342175
25,0.8833499,0.8658778,0.16984504,0.0019004941
26,1.1235319,0.8793458,0.17928518,0.0134679675
27,0.76166314,0.87389976,0.18120933,0.005446017
28,0.6326056,0.8365799,0.1449386,0.03731984
29,0.87020934,0.82388914,0.12864114,0.012690783
30,0.6483037,0.8122875,0.13364808,0.011601627
31,0.952401,0.8173035,0.13705923,0.0050159693
32,0.78557944,0.8159933,0.1372399,0.0013101697
33,0.5574291,0.7977097,0.14627995,0.018283606
34,0.5447051,0.7860234,0.1568551,0.011686325
35,0.6791905,0.78867286,0.15444241,0.002649486
36,0.4544677,0.76638335,0.16897559,0.022289515
37,0.6094783,0.7559425,0.17202303,0.010440826
38,0.54240024,0.744471,0.17843802,0.01147151
39,0.74032295,0.7500762,0.17634249,0.005605161
40,0.59308326,0.7276523,0.16550772,0.022423863
41,0.88512003,0.7266851,0.16447337,0.00096720457
42,0.6523083,0.724844,0.16512072,0.0018411279
43,0.87461853,0.7273851,0.16710284,0.0025411248
44,0.9781251,0.7384447,0.17623177,0.011059582
45,0.7904862,0.7338015,0.17341381,0.004643202
46,0.8127623,0.71826303,0.14883597,0.015538454
47,0.6934275,0.7148512,0.1485706,0.0034118295
48,0.8981771,0.72812974,0.15264489,0.013278544
49,0.7968248,0.72446054,0.14990734,0.0036692023
50,0.7834815,0.7312194,0.14933923,0.0067588687
51,0.7303012,0.72011447,0.13999155,0.011104941
52,0.6621441,0.71394265,0.13967408,0.0061718225
53,0.8066452,0.72640353,0.13604565,0.012460887
54,0.8299558,0.74066603,0.1308475,0.014262497
55,0.7768199,0.7455475,0.13025312,0.0048814416
56,0.6941797,0.75753313,0.11177744,0.01198566
57,0.92782295,0.7734503,0.11224995,0.015917182
58,0.792364,0.7859485,0.09820774,0.0124982
59,0.9225759,0.7950612,0.102128655,0.009112656
60,0.6695929,0.79888666,0.09537447,0.0038254857
61,0.7108125,0.79017127,0.095043264,0.008715391
62,0.95692563,0.80540216,0.09618853,0.015230894
63,0.7992539,0.80163395,0.094800435,0.0037682056
64,0.71003014,0.78822917,0.0871791,0.013404787
65,0.5429396,0.77585185,0.102982275,0.012377322
66,0.5252303,0.7614752,0.11671302,0.01437664
67,0.9923679,0.77642226,0.126289,0.014947057
68,0.747194,0.7688731,0.12310021,0.0075491667
69,0.68038136,0.7630509,0.12445483,0.0058221817
70,0.8235357,0.76505363,0.1251214,0.002002716
71,0.8115005,0.7691136,0.12525171,0.0040599704
72,0.99099493,0.78555614,0.13187984,0.016442537
73,0.76633155,0.7835404,0.13184862,0.0020157099
74,0.88139015,0.7861122,0.13329528,0.0025717616
75,0.79211617,0.786877,0.13328303,0.0007647872
76,0.67139554,0.7857378,0.1342112,0.001139164
77,0.72239256,0.77546626,0.13057657,0.010271549
78,0.72503614,0.77209985,0.13098525,0.0033664107
79,0.7383783,0.76289,0.12623772,0.009209871
80,0.7387212,0.7663464,0.12448295,0.0034564137
81,0.7272958,0.76717055,0.12415005,0.0008241534
82,0.7676587,0.75770724,0.115861446,0.00946331
83,0.8169734,0.7585932,0.11626292,0.00088596344
84,0.7838264,0.76228297,0.11581072,0.003689766
85,0.90876454,0.78057426,0.10796789,0.018291295
86,0.9702486,0.80282515,0.0979683,0.02225089
87,0.86486244,0.7964499,0.08869441,0.006375253
88,1.0351765,0.810849,0.10256829,0.014399111
89,1.0367602,0.82866794,0.10943601,0.017818928
90,0.9405211,0.8345172,0.11223779,0.005849242
91,0.77028114,0.8324563,0.11305813,0.0020608902
92,0.844604,0.8251368,0.106820606,0.00731951
93,0.99775577,0.83670795,0.1124988,0.011571169
94,0.89186245,0.8372315,0.11274182,0.0005235672
95,0.841789,0.8397152,0.11224167,0.002483666
96,0.82642,0.84746635,0.105133824,0.007751167
97,1.1105074,0.86687213,0.1160818,0.019405782
98,0.92224514,0.87673265,0.11169245,0.009860516
99,0.7801018,0.8788188,0.10933709,0.0020861626
100,0.5587539,0.8698204,0.12738921,0.008998394
101,0.6286609,0.86488867,0.134886,0.004931748
102,0.7587281,0.86444217,0.13523912,0.0004464984
103,0.78662145,0.8629246,0.13596818,0.0015175939
104,0.72943103,0.8602048,0.13816,0.00271976
105,0.85131097,0.8573321,0.1376937,0.0028727055
106,0.8248538,0.8500624,0.13523455,0.00726974
107,0.89256203,0.8514473,0.13553561,0.0013849139
108,0.71804404,0.8355907,0.13139725,0.015856564
